id,name,description,image
1,바카디 모히또,라임향의 달달한 리큐르 입니다. ,https://m.hellobaking.com/web/product/big/mamsbaking_1182.jpg
2,바카디 블랙 럼,오크통에서 숙성한 다크 럼 입니다. ,https://spng.pngfind.com/pngs/s/623-6233285_bacardi-oakheart-spiced-rum-1-litre-png-download.png
3,탄산수,칵테일에 스파클링을 더해줍니다. 일반적으로 아무 맛도 없습니다. ,https://health.chosun.com/site/data/img_dir/2023/01/03/2023010301344_0.jpg
4,라임,산성이 있는 녹색의 과일입니다. 시고 상큼하며 약간의 단 맛이 있습니다. ,https://i.namu.wiki/i/FlmoiOIoE9a_mcf9bdjDYKFt3nGYBpzX5K5r4eE7w3uisjHIi6MItYr57FdOg9hKYl4TNr1Sb9-1vwDaE1-_hQ.webp
5,레몬,산성이 있는 노란색의 과일입니다. 시고 상큼하며 약간의 단 맛이 있습니다. ,https://i.namu.wiki/i/fk7Hslsur6zn2OGqtYcN0g2kmVYp7Of6vmk0LVPOC2BVFs9IKbTLxeoUDbd1QT6pJxjg78VI2vfzi-df0T-NTqNzYk38pACCTegWxqTVmd8Kw3IKqjxYJ7Osy3qw6zuTTO1IOfpDOmJhgkXG3c51iA.webp
6,얼음,음료를 차갑게 유지해줍니다. 얼음이 녹으며 맛을 변하게 하기도 합니다. ,https://i.namu.wiki/i/XpnjgA_2ulzuo-EBBuWXKrv7Nod1rDlx9TbMprTSw07k7Ot0Ar_jMncZIThtJ4LRtEKaHTSQljWJi92LI-PhocJTYa_2oUUTgOMfSBMvWzabH1NHqIgy62lHUVU2SxeWUdqcRgjAqzits4Y5Jjr9Rw.webp
7,설탕 시럽,단 맛을 더해줍니다. ,https://i.namu.wiki/i/HQuLC-fIHZZ2ui64isU4_Pu26jzL04bubtPMxYBCUbpmAWjEmbzyYyBA4SoZl8zJ12HeGNOBZOa3rMJ6e3wF01_Q3hILgoQzzZiGrYUNvRxletsEC3PigkKHqSl4lljNCIYMYdYzYoBK1MxH8Ss9VQ.webp
8,오렌지,단 맛이 강한 과일입니다. 특유의 세콤달콤한 향이 있습니다. ,https://i.namu.wiki/i/s4VbTVXO_16p_tu2w_qtfZ8M-d-WVj1yKkBxbLtOMvdTzBarXahxuTSTbyAP9tD4EtDyAV8NY_fV7HuzIQk8N7guLzgGqDyapQVUdzyvT1BYcQPMexI6uFH7Ib33WgCxkZsfpEy5_PLx20sD7FMsHA.webp
9,오렌지 주스,오렌지 향이 나는 주스입니다.,https://i.namu.wiki/i/6dZfE8i2Q1dxopawUlj8QE_1dLP9eT2WIQqloi079ESeHvyZ5Ui00tcBazFD089-Ra3tV34MvQjftGe7LkmjpVzNvhbsiDTZOvhOm7Kr3C5OOX2VOtXdZvv9eZZ1j_w1Sti57wsuE6nL6ywRY5ihCg.webp
10,피치트리,복숭아 향이 가득한 리큐르 입니다. ,https://img.danawa.com/prod_img/500000/306/438/img/32438306_1.jpg?_v=20240115135913&shrink=360:360
11,앱솔루트 보드카,무향에 가까운 보드카 입니다. 칵테일 주조에 자주 사용됩니다. ,https://d1e2y5wc27crnp.cloudfront.net/media/smartorder_reservation/product/thumbnail/52183221-134b-49dc-a822-2a395563a6b0.webp
12,잭다니엘,대표적인 위스키로 특유의 바닐라와 캐러멜 향을 느낄 수 있습니다. ,https://i.namu.wiki/i/ucuwCU5mrtA9RJggktlAtQaJKowukrQh3m8Qi1GFmlwPhbb9owx7GNu56BnoyskyUpG2okCy3qO9drhlcpN9gRi16pzEEHzNCjpitBxbsmPBOnuQMI7OE61qgfu-bLVHg-4agPIEUkIF-zGo5IMwVw.webp
13,콜라,특유의 향과 단맛이 나는 탄산음료 입니다. ,https://kormedi.com/wp-content/uploads/2022/09/ck-pc003811904-l-559x580.jpg
14,사이다,청량한 탄산음료로 단맛이 특징입니다. ,https://m.health.chosun.com/site/data/img_dir/2021/01/27/2021012702481_0.jpg
15,잭다니엘 애플,산뜻한 청사과맛의 리큐르 입니다. 달콤합니다. ,https://d1e2y5wc27crnp.cloudfront.net/media/smartorder_reservation/product/thumbnail/aa4bedb7-fe7d-4c36-b4b8-ef42ee40aae5.webp
16,토닉워터,달달한 맛의 탄산음료입니다. ,https://i.namu.wiki/i/n-CZPlpAMgdLZtqTak8_40yRZsEyulHzfIh80pGiMqcUKiW_NvrvdfqD-cevQKiCMCfuCt401XXPl0xLB2V_4oA7my4m_XSVRf_OYShhKFnW36YWf5qPbWoVCHqwuVHcFLQVvgyleClbI6G-2gtn4A.webp
17,깔루아,진한 커피/초콜릿 맛의 리큐르 입니다. 우유와 잘 어울립니다. ,https://img.danawa.com/prod_img/500000/302/439/img/32439302_1.jpg?_v=20240115135952
18,우유,지방이 풍부하여 고소하고 건강에 좋습니다. ,https://i.namu.wiki/i/B_EoS0GuxkPcIDQ2qMV-8u-UfuZcpibZ2tZlOrbCLB7c6dN1UUH3BxcZM9HPTa2d0z6YUA5rhOcTHEtQOD5avg.webp
19,레몬즙,레몬을 착즙하여 만듭니다. ,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcTc9T_xB3rorGwt8Wk3gB3ImcbLSg3oZPcVhxi4BCbjashjrrASZMBCNEQ387AVR_N6f_7tQ_yVfK5xY-SXIrsJPctshskHt0auukl16WREh1LJaXf1lsy-e50
20,라임즙,라임을 착즙하여 만듭니다. ,https://image.homeplus.kr/td/846495f7-0f8b-47ad-93bf-ef7079f3773c
21,소주,한국의 대표적인 증류주 입니다. 빠르게 취합니다. ,https://i.namu.wiki/i/8ANUYw3iirC_jCTbKenwZUO0e3zKgorVg2C4OII7Cnin4TeOF4ujYZ4MSIC7lfUUEywWdyD_vaGgboABCvkyGsqZPskkgNclQ2KzO2ICmYXD56hw--8gdywQtk4zYIpb1X-TuqUKv8deKJJC_eXkOw.webp
22,계피,스파이시한 맛과 향이 매력입니다. ,https://i.namu.wiki/i/L2nnHjI3GeGSBvPxrtxfc9qfcFNnVXNyfCFT_M3UbzMFtuopJ8ZGrfiK5GpY_xQ-_UTVQXQ_PMwt59R2DNEj8Ly94umd5BEUnifKxPqVw1ucDBRcNwZHViGs-WagaWgE1ueW6jHRgnuaLwGcRFuswg.webp
23,캄파리,붉은색의 강렬한 식전주 입니다. ,https://i.namu.wiki/i/Q4G63nxwb0oMgeatT7US_Fy-KvlTLfM_W_a6NBqG6qROMjNodt7rtTgY6jFC6YtrJv85bA7NFNDBnaQWU0L48t1HEhfRY8UUFvH4sS35vti-ZddrWyRsBkJedzH51fpqcxVvfwFEBK8dqlRveBdwSw.webp
24,파인애플 주스,파인애플 향과 맛이 첨가된 주스입니다. ,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcTu_hnwlwKa9mp-aJnUXq2zqWBhXNF2Jz_m48lDngYt9XtUkX9L5uxGilwtFkYTTygdS1cMCAhyiPANkDGKfRB8GO2Gp2IUn440dOzZbJ_nTlfzJLirBWngdg
